date,min,max,mean
2012-05-01,0.513,59.593,10.122518731988473
2012-05-02,0.456,66.479,9.988155619596542
2012-05-03,0.844,64.502,10.908596541786743
2012-05-04,0.45,49.633,10.61713832853026
2012-05-05,0.793,51.226,11.009443804034582
2012-05-06,0.792,59.22,11.674172910662824
2012-05-07,0.711,45.397,11.344910662824208
2012-05-08,0.558,53.867,10.062051873198847
2012-05-09,0.447,50.036,10.067414985590778
2012-05-10,0.446,55.393,9.86835734870317
2012-05-11,0.54,47.865,9.426020172910663
2012-05-12,0.492,56.591,9.828412103746397
2012-05-13,0.795,45.707,10.330100864553314
2012-05-14,0.471,50.596,10.050809798270892
2012-05-15,0.442,64.47,9.91293371757925
2012-05-16,0.475,46.706,9.74072334293948
2012-05-17,0.461,47.619,9.602322766570605
2012-05-18,0.786,66.195,10.026976945244956
2012-05-19,0.794,53.235,9.753172910662824
2012-05-20,0.111,47.635,10.655123919308357
2012-05-21,0.791,53.951,9.827651296829972
2012-05-22,0.791,40.094,8.948268011527377
2012-05-23,0.792,39.045,8.863858789625361
2012-05-24,0.792,47.597,8.7871325648415
2012-05-25,0.79,56.5,8.703112391930835
2012-05-26,0.791,36.996,8.794487031700287
2012-05-27,0.79,41.036,9.165302593659943
2012-05-28,0.566,53.538,8.867092219020172
2012-05-29,0.748,43.22,8.737184438040346
2012-05-30,0.792,41.673,8.568599423631124
2012-05-31,0.791,39.207,8.715170028818445
2012-06-01,0.793,42.491,8.786334293948128
2012-06-02,0.794,36.609,9.106268011527378
2012-06-03,0.178,44.924,10.079948126801153
2012-06-04,0.761,51.181,9.326478386167148
2012-06-05,0.731,53.487,9.927466858789625
2012-06-06,0.822,45.162,9.132066282420748
2012-06-07,0.742,45.532,9.406576368876081
2012-06-08,0.61,58.0,9.369178674351586
2012-06-09,0.777,61.292,9.113703170028819
2012-06-10,0.021,52.988,9.799743515850144
2012-06-11,0.694,58.121,9.790974063400576
2012-06-12,0.67,67.119,9.454161383285303
2012-06-13,0.796,56.576,8.900265129682996
2012-06-14,0.796,65.365,9.014060518731988
2012-06-15,0.796,53.375,9.109051873198847
2012-06-16,0.795,52.817,9.395377521613833
2012-06-17,0.795,57.833,9.539121037463977
2012-06-18,0.81,62.411,9.150976945244958
2012-06-19,0.597,52.864,8.746524495677233
2012-06-20,0.733,49.906,8.597677233429394
2012-06-21,0.786,60.578,8.967276657060518
2012-06-22,0.784,57.554,8.98414409221902
2012-06-23,0.788,67.065,9.298593659942364
2012-06-24,0.789,62.962,9.825821325648414
2012-06-25,0.785,54.079,8.792605187319886
2012-06-26,0.784,63.924,9.018389048991354
2012-06-27,0.531,60.555,9.069723342939481
2012-06-28,0.781,45.923,8.903371757925072
2012-06-29,0.783,47.874,8.589976945244958
2012-06-30,0.741,55.96,8.772106628242074
2012-07-01,0.787,57.558,9.340446685878963
2012-07-02,0.965,55.013,8.813674351585014
2012-07-03,0.736,63.154,8.905100864553315
2012-07-04,0.922,53.452,8.79050432276657
2012-07-05,0.826,55.901,8.644025936599423
2012-07-06,0.888,56.375,8.79957060518732
2012-07-07,0.265,55.21,9.134962536023055
2012-07-08,0.791,45.84,9.86392507204611
2012-07-09,0.899,74.178,9.075976945244957
2012-07-10,0.562,66.958,8.739867435158502
2012-07-11,0.044,55.772,8.752691642651298
2012-07-12,0.658,64.743,8.836273775216139
2012-07-13,0.794,45.457,8.977870317002882
2012-07-14,0.775,45.311,9.28650432276657
2012-07-15,0.795,41.764,9.170308357348704
2012-07-16,0.915,37.437,9.014348703170029
2012-07-17,0.829,46.408,8.583547550432277
2012-07-18,0.905,42.835,8.530550432276657
2012-07-19,0.929,42.277,8.56364841498559
2012-07-20,0.609,54.972,8.672478386167146
2012-07-21,0.79,47.184,8.459138328530258
2012-07-22,0.639,35.101,8.758979827089338
2012-07-23,0.793,36.658,8.565835734870316
2012-07-24,0.835,48.63,8.531818443804035
2012-07-25,0.765,43.034,8.632438040345821
2012-07-26,0.766,42.748,8.55993371757925
2012-07-27,0.791,39.611,8.764573487031699
2012-07-28,0.778,38.604,8.595576368876081
2012-07-29,0.794,46.362,9.144556195965418
2012-07-30,0.793,43.3,8.508870317002883
2012-07-31,0.795,47.454,8.780291066282421
2012-08-01,0.796,45.807,8.660221902017291
2012-08-02,0.793,41.577,8.32171181556196
2012-08-03,0.793,39.612,8.53485590778098
2012-08-04,0.65,36.367,8.524195965417867
2012-08-05,0.795,39.56,9.38306628242075
2012-08-06,0.793,47.503,8.668740634005763
2012-08-07,0.794,47.157,8.48336023054755
2012-08-08,0.795,40.624,8.573443804034582
2012-08-09,0.794,44.08,8.598582132564841
2012-08-10,0.794,32.283,8.486129682997118
2012-08-11,0.794,39.442,8.60535446685879
2012-08-12,0.794,39.03,9.046100864553313
2012-08-13,0.792,35.772,8.473193083573486
2012-08-14,0.792,43.816,8.219829971181555
2012-08-15,0.736,41.803,8.763394812680115
2012-08-16,0.795,40.434,8.550896253602305
2012-08-17,0.797,43.702,8.281812680115275
2012-08-18,0.794,47.015,8.313466858789626
2012-08-19,0.81,42.346,9.128616714697406
2012-08-20,0.766,44.656,8.677907780979828
2012-08-21,0.625,42.636,8.500334293948127
2012-08-22,0.63,45.796,8.451066282420749
2012-08-23,0.63,40.282,8.591164265129683
2012-08-24,0.632,29.813,8.472397694524496
2012-08-25,0.632,35.038,8.553175792507204
2012-08-26,0.631,35.167,8.819922190201728
2012-08-27,0.633,33.161,8.756121037463977
